"station_id","year","season","seasonal_prcp","seasonal_tmax","seasonal_tmin"
87448,1985,4,151.9,23.3786516853933,9.22988505747126
87448,1986,1,304.2,30.7744186046512,15.0611764705882
87448,1986,2,188.4,23.9233333333333,8.43555555555556
87448,1986,3,41.9,18.9511111111111,1.5247191011236
87448,1986,4,114.8,24.6976744186047,8.20843373493976
87448,1987,1,257.7,30.7290697674419,14.8847058823529
87448,1987,2,168.6,22.5775280898876,7.63888888888889
87448,1987,3,47.5,17.7022988505747,1.39431818181818
87448,1987,4,143.2,24.7696629213483,8.13255813953488
87448,1988,1,259.2,30.2120879120879,14.2816091954023
87448,1988,2,88.9,23.1955555555556,7.64367816091954
87448,1988,3,2.5,17.6348837209302,-1.87228915662651
87448,1988,4,85.4,25.4872093023256,7.46463414634146
87448,1989,1,258.3,31.9058823529412,15.4785714285714
