"x_coord"	"y_coord"	"lon"	"lat"
5182500	5912500	-63.560806634261	-36.8854239141529
5187500	5912500	-63.5048270340158	-36.8870902924835
5192500	5912500	-63.4488428673365	-36.8887303599771
5197500	5912500	-63.3928542065272	-36.8903441099514
5202500	5912500	-63.3368611239284	-36.8919315358306
5207500	5912500	-63.2808636919166	-36.8934926311451
5212500	5912500	-63.2248619829036	-36.8950273895318
5217500	5912500	-63.1688560693362	-36.8965358047338
5222500	5912500	-63.1128460236952	-36.8980178706011
5227500	5912500	-63.0568319184951	-36.8994735810898
5232500	5912500	-63.0008138262835	-36.900902930263
5237500	5912500	-62.9447918196403	-36.9023059122905
5242500	5912500	-62.8887659711775	-36.9036825214488
5247500	5912500	-62.8327363535383	-36.9050327521212
5252500	5912500	-62.7767030393966	-36.906356598798
5257500	5912500	-62.7206661014565	-36.9076540560766
5262500	5912500	-62.6646256124514	-36.9089251186612
5267500	5912500	-62.608581645144	-36.9101697813633
5272500	5912500	-62.5525342723251	-36.9113880391015
5277500	5912500	-62.4964835668134	-36.9125798869017
5282500	5912500	-62.4404296014549	-36.9137453198969
5287500	5912500	-62.384372449122	-36.9148843333276
5292500	5912500	-62.3283121827131	-36.9159969225416
5297500	5912500	-62.2722488751522	-36.9170830829942
5302500	5912500	-62.216182599388	-36.9181428102483
5307500	5912500	-62.1601134283936	-36.9191760999741
5312500	5912500	-62.1040414351655	-36.9201829479496
5317500	5912500	-62.0479666927234	-36.9211633500605
5322500	5912500	-61.9918892741095	-36.9221173022998
5327500	5912500	-61.9358092523878	-36.9230448007688
5332500	5912500	-61.8797267006436	-36.9239458416762
5337500	5912500	-61.8236416919829	-36.9248204213386
5342500	5912500	-61.7675542995318	-36.9256685361806
5347500	5912500	-61.7114645964357	-36.9264901827346
5352500	5912500	-61.6553726558593	-36.927285357641
5357500	5912500	-61.5992785509852	-36.9280540576481
5362500	5912500	-61.5431823550138	-36.9287962796124
5367500	5912500	-61.4870841411628	-36.9295120204984
5372500	5912500	-61.4309839826663	-36.9302012773786
5377500	5912500	-61.3748819527742	-36.9308640474337
5382500	5912500	-61.3187781247518	-36.9315003279527
5387500	5912500	-61.2626725718793	-36.9321101163325
5392500	5912500	-61.2065653674507	-36.9326934100786
5397500	5912500	-61.1504565847737	-36.9332502068044
5402500	5912500	-61.0943462971688	-36.9337805042319
5407500	5912500	-61.0382345779691	-36.9342843001912
5412500	5912500	-60.9821215005192	-36.9347615926208
5417500	5912500	-60.9260071381748	-36.9352123795675
5422500	5912500	-60.8698915643022	-36.9356366591866
5427500	5912500	-60.8137748522776	-36.9360344297418
5432500	5912500	-60.7576570754865	-36.9364056896052
5437500	5912500	-60.7015383073233	-36.9367504372572
5442500	5912500	-60.6454186211903	-36.9370686712868
5447500	5912500	-60.5892980904973	-36.9373603903915
5452500	5912500	-60.5331767886613	-36.9376255933773
5457500	5912500	-60.4770547891053	-36.9378642791586
5462500	5912500	-60.4209321652582	-36.9380764467583
5467500	5912500	-60.364808990554	-36.938262095308
5472500	5912500	-60.3086853384312	-36.9384212240478
