"date"	"pr.87544"	"pr.87448"	"pr.87453"	"pr.87534"	"pr.87468"	"pr.87484"	"pr.87537"	"pr.87548"	"pr.87532"	"pr.87540"	"pr.87550"	"pr.87616"	"pr.87623"	"pr.87624"	"pr.87637"	"pr.87640"	"pr.87679"
1961-05-28	0	0	0	0	NA	0	NA	0	0	0	0.2	0	0	0	0.5	0	0.2
1961-05-29	0.9	NA	0	0	NA	0	NA	0	0	1	0.5	0	0	0	0.2	3	0.1
1961-05-30	0	0	0	0	NA	0	NA	0	0	0.2	0	6.5	0	0	1.7	0	0
1961-05-31	0.6	0	4.8	0	NA	5.4	NA	4.6	2.5	2	10.3	4.2	35	0	16.7	0	10.8
1961-06-01	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-02	0.2	0	0	0	NA	0	NA	0	0	0	0.4	0.5	0	0	4	NA	1.2
1961-06-03	0.2	0	0	0	NA	0	NA	0	0	0.3	0	0	0	0	0	0	0
1961-06-04	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-05	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-06	0	0	0	0	NA	0	NA	0.2	0	0	0.1	0	0	0	1.5	0.5	0.5
1961-06-07	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0.3	0	0
1961-06-08	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-09	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-10	0	0.7	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.3
1961-06-11	0	0.7	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-12	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-13	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-14	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-15	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-16	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-17	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-18	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-06-19	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-21	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-22	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.4
1961-06-23	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0.1	0	0.4
1961-06-24	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0.4	0	0.7
1961-06-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-26	0	1	0	0	NA	0	NA	0	0	0	0	0.4	0	0	1.4	0	0.1
1961-06-27	3	0	1.7	0	NA	17.5	NA	2.8	2	0.8	3.5	1	0	0	0	8	0
1961-06-28	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-06-29	0	0	1	2.4	NA	0.8	NA	0	0	0	0	0	0	0	0	0	0
1961-06-30	1.7	1	0.9	8.2	NA	9.2	NA	10.2	19.1	9.5	16	14.6	16.2	17	6.1	20	6.7
1961-07-01	0.2	0	0	0	NA	0	NA	0	0.6	0.1	0.3	0.2	0	0	3	2.5	0.6
1961-07-02	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-03	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-04	0	0	0	0	NA	0	NA	0.3	0	0	0	0	0	0	0	0	0
1961-07-05	0.1	0	0.3	0.8	NA	0	NA	0.2	0	1	0.7	0	0	0	1.5	0	2
1961-07-06	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.2
1961-07-07	0	0	0	0	NA	0	NA	0	0	0.5	0	0	0	0	0	0	0
1961-07-08	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-09	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-10	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-11	0.3	0	0	0	NA	0	NA	0	0	0.2	0	0	0	0	0	0	0
1961-07-12	3.5	0	0	0	NA	0	NA	0	0	0	0	0	4	2.4	3	1.5	2.1
1961-07-13	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-14	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-15	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-16	6.3	0	0	0	NA	0	NA	0	0	0.1	0.6	0	0	0	1.4	0	0.6
1961-07-17	0	0	0	0	NA	0	NA	0	0	0.1	0	0	0	0	0	0	0.2
1961-07-18	0.5	0	0	0.6	NA	0	NA	0	0	4.3	3.3	0	0	0	0	1.5	0
1961-07-19	38.2	0	0	0	NA	39.9	NA	4	0	2.5	0.5	1.4	8	13.5	25.2	13.5	12.9
1961-07-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.5
1961-07-21	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.2
1961-07-22	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-23	0	0	0	0	NA	0	NA	0	0	0	0	0	0.1	0	1.7	0	2.7
1961-07-24	0	0	0	0	NA	0	NA	0	0	0	0	NA	0	0	1	0	1.8
1961-07-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-26	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-27	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-28	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-29	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-30	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-07-31	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-01	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-02	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-03	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-04	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-05	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-06	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-07	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-08	0.1	0	0.7	0	NA	0	NA	0	0.2	0	0	0	0	0	0.3	NA	0
1961-08-09	0	0	0	0	NA	0	NA	0	0	0.1	0	0	0	0	0.3	0	0.2
1961-08-10	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-11	2.8	1.5	0.3	0	NA	0	NA	0	11	5	1	0.5	16.7	27	21	2.5	30
1961-08-12	25.4	0.9	0.2	7	NA	4	NA	14.8	2.6	25.3	34	0	0	0	12	27.5	5.3
1961-08-13	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-14	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0.3	0	0
1961-08-15	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-16	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0.4	0	0.3
1961-08-17	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-18	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-19	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-21	22.5	0	0	0	NA	NA	NA	1.2	12	10	14	5.2	12	10.5	28	19.5	29
1961-08-22	0	0	0	0	NA	10.3	NA	6.9	0	0	1	0	0	0	0	0	0
1961-08-23	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-24	0	0	0	0	NA	3.5	NA	0	0	0	0	0	0	0	0	0	0
1961-08-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	1.6	0	0.3
1961-08-26	11.9	0	0	0	NA	0	NA	0	7.6	6.5	9.8	5.4	6.4	6	1	11	0.3
1961-08-27	0	0	1	0.4	NA	0	NA	0.4	0	0	0.2	0	0	0	0	0	0
1961-08-28	0	4.2	0	0	NA	0	NA	0	0.6	3.5	0	0.6	0.5	3	0	0	0
1961-08-29	0.2	1.3	10.8	2	NA	10.8	NA	16.8	0	0.2	10.3	6.6	8.4	5	0.3	22	0
1961-08-30	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-08-31	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-01	2.6	0	0	2.8	NA	0	NA	0	0	3	13.3	0	0	0	0.3	12.5	1.8
1961-09-02	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-03	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-04	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-05	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-06	0	0	0	0	NA	0	NA	0	1.8	1.5	0	5.7	12.8	9.5	0	0	0
1961-09-07	0	4.2	0	0	NA	0	NA	0	0.7	0	0	7.2	0	0	0	0	0
1961-09-08	0	0.4	5.3	1.6	NA	0	NA	0	0.7	0	0	3	0	0	0	0	0
1961-09-09	10.2	0.4	3.3	0	NA	0	NA	0	0	3.7	2.8	0	0	0	0	7	0
1961-09-10	0	0	0	0	NA	2.8	NA	0.3	0	3	9.6	0	0	0	0	0	0
1961-09-11	0	0	0	0	NA	5.3	NA	3	0	0	0.7	0	0	0	0	0	0
1961-09-12	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.7
1961-09-13	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.3
1961-09-14	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-15	0	0	0	0	NA	0	NA	0.1	0	0	0	0	0	0	0	0	0
1961-09-16	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-17	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-18	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-19	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0.3
1961-09-20	0.5	3.5	10.4	1.6	NA	8.3	NA	13	1.5	1.7	0.7	0	0	0	0	0	0
1961-09-21	0	2	16.8	2.6	NA	0	NA	0	1.5	0.6	0	1.6	0	0	0	0	0
1961-09-22	4.6	0	0	4	NA	0	NA	0.4	1	4	0	1	0	0.7	0.8	0	0.6
1961-09-23	11.3	0	2	1.2	NA	10	NA	33.3	4.3	6.2	55	2.5	4.9	6.8	27.5	23	23.6
1961-09-24	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-26	0	0	0	0.7	NA	0	NA	0	0	0	0	0	0	0	0.5	0	1
1961-09-27	0	0	0	1	NA	0	NA	0	0	5.1	0	0	0	0.7	2.2	0	8.6
1961-09-28	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-29	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-09-30	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-10-01	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0
1961-10-02	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0
1961-10-03	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0
1961-10-04	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0
1961-10-05	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0
1961-10-06	0	0	0	0	NA	1.1	NA	1	0	0	0	0	0	0	NA	0	0
1961-10-07	0.4	0	0	0	NA	0	NA	0	0	2.4	2.1	0	0.1	1.8	NA	6	1
1961-10-08	15	12.7	35.7	38.8	NA	52.3	NA	38.3	9.6	27.5	108.3	0.2	0	2.5	NA	27	23.3
1961-10-09	0	0	0	0	NA	0	NA	0.1	0	0	0.5	0	0	0	NA	0	0
1961-10-10	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	NA	0	0.3
